17048044,졸업반,8,ghdw****,"마지막에 주희는 그의 만화를 봤다는 대사를 내뱉었다. 그 작지만 무거운 돌직구는 남자 주인공이 아닌 스크린 너머의 우리 이마를 겨눈다.  따갑고 재빠른 기습이다. ""어때, 깜짝 놀랐지? 네가 어찌되든 상관없어. 재밌으면 그만이지.""살얼음판 위를 걷는 것과 같은 조촐한 첫 모험에서 그는 끝판왕 보스를 만났다ㅡ몹시 철렁이고 싸늘한 파도를 타면서. 그것이 덥치고 간 재난 지역의 복구 작업 기간은 아찔한 높이에서 내려다 보듯 까마득하다."
17048043,시체들의 새벽: 컨테이젼,1,allc****,0점이나 마이너스도 줄수 있게 해줘야 함. 내 시간돌리도..
17048042,강철비2: 정상회담,2,jeon****,보는동안 너무 지루했음... 기대가 너무 컸나 봅니다. 아쉬움이 너무 많이 남는 영화네요
17048040,콘돌,8,voic****,콘돌 을 보고 있자니 ..로버트레드포드가 감독 주연한 스파이게임 이 떠오르는 군요..둘 다 멋있는 영화!
17048041,포드 V 페라리,10,ding****,너무 재밌었어요 직접 가서보고 싶다고 느낄정도ㅋㅋㅋ 회장님들 갈등도 재밌었고 이사는 괜히 이사가 아님ㅋ 연기도 너무 잘하셔들
17048039,다만 악에서 구하소서,8,sooy****,재밌게 잘봤습니다 .
17048038,다만 악에서 구하소서,10,ain1****,배우들 여윽시...평보고 기대하고갔는데 기대이상이였던 영화!!! 한국영화중 최근 이렇게 재밌고 시간가는줄 모르고 몰두했던 영화가있었나..싶은!!!!박정민이 왜 영화 포스터에없던건지도 이해햇..ㅎㅎ박정민 눈빛연기 배우고싶다!!!!
17048037,다만 악에서 구하소서,6,jung****,"솔까 큰재미늠 못느낌,, 박정민 연기는 인정"
17048035,다만 악에서 구하소서,2,lhm4****,내용  스트리  엉망    만화영화
17048036,마당을 나온 암탉,10,ding****,"오리랑 닭이랑 헤어질때 슬펐는데 그 뒤 이야기로 눈물ㅠㅠ 전개도 빠르고 동화같은 배경도 좋았어요 오리의 재발견, 워킹맘족제비"
17048034,다만 악에서 구하소서,4,ekk3****,평점에 속지마세요....
17048033,강철비2: 정상회담,1,yuom****,이걸  돈주고 보라고  만들었나   알바  새끼들  별점 높여 논거봐 어이없다 정말
