1,아나운서 황정민
2,aoa
3,권민아
4,샘 오취리
5,초아
6,쯔양
7,기쁨153교회
8,설현
9,류호정 원피스
10,권경애
11,담보
12,남이섬
13,의암댐
14,의정부고 졸업사진
15,신라젠
16,한상혁
17,뽕숭아학당 마사지
18,양팡
19,거미
20,민아
